,Glioma,Meningioma,"No
Tumor",Pituitary,accuracy,macro avg,weighted avg
precision,0.919831223628692,0.5549348230912476,0.9893617021276596,0.9725490196078431,0.7955758962623951,0.8591691921138607,0.8682041328745878
recall,0.7266666666666667,0.9738562091503268,0.6888888888888889,0.8266666666666667,0.7955758962623951,0.8040196078431373,0.7955758962623951
f1-score,0.8119180633147114,0.7069988137603797,0.8122270742358079,0.8936936936936937,0.7955758962623951,0.8062094112511482,0.8062373220279938
support,300.0,306.0,405.0,300.0,0.7955758962623951,1311.0,1311.0
