,Glioma,Meningioma,"No
Tumor",Pituitary,accuracy,macro avg,weighted avg
precision,0.9609929078014184,0.6851851851851852,0.9808743169398907,1.0,0.8825324180015256,0.9067631024816236,0.9116846966954599
recall,0.9033333333333333,0.9673202614379085,0.8864197530864197,0.77,0.8825324180015256,0.8817683369644155,0.8825324180015256
f1-score,0.9312714776632303,0.8021680216802168,0.9312581063553826,0.8700564971751412,0.8825324180015256,0.8836885257184928,0.8871253548128054
support,300.0,306.0,405.0,300.0,0.8825324180015256,1311.0,1311.0
