,Glioma,Meningioma,"No
Tumor",Pituitary,accuracy,macro avg,weighted avg
precision,0.9949238578680203,0.960952380952381,0.9915492957746479,0.9995751911639762,0.9865834218916046,0.9867501814397563,0.986957497469416
recall,0.98,0.9970355731225297,1.0,0.9804166666666667,0.9865834218916046,0.9893630599472991,0.9865834218916046
f1-score,0.9874055415617129,0.9786614936954413,0.9957567185289957,0.9899032393773665,0.9865834218916046,0.987931748290879,0.9866318633551776
support,2400.0,2024.0,704.0,2400.0,0.9865834218916046,7528.0,7528.0
