,Glioma,Meningioma,"No
Tumor",Pituitary,accuracy,macro avg,weighted avg
precision,0.9942426926483614,0.9094631483166515,0.994269340974212,0.991575400168492,0.9686503719447397,0.9723876455269294,0.9706007506640804
recall,0.9354166666666667,0.9876482213438735,0.9857954545454546,0.9808333333333333,0.9686503719447397,0.9724234189723321,0.9686503719447397
f1-score,0.9639330184628596,0.9469445760303173,0.9900142653352354,0.9861751152073732,0.9686503719447397,0.9717667437589464,0.9688955081681625
support,2400.0,2024.0,704.0,2400.0,0.9686503719447397,7528.0,7528.0
